rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,len,seq,sysid,compid,msgid,fromlcm,payload64
1402603677213414604,,201,,0,0,'',28,253,1,50,30,False,"[4355786146035293532, 13841046651605196682L, 13533816830470508718L]"
1402603677218396309,,202,,0,0,'',20,254,1,50,74,False,"[0, 9223372036854775808L]"
1402603677221365470,,203,,0,0,'',9,255,1,50,0,False,[347071849013772288]
1402603677310350460,,204,,0,0,'',31,0,1,50,1,False,"[17179869188, 3378828390688620548, 65436]"
1402603677406358759,,205,,0,0,'',62,1,1,50,105,False,"[24008843, 4522711242900754502, 13521031481725173324L, 4358622663706358136, 4471947684386575388, 4935114137955792868, 4687469522364399616]"
1402603677412238118,,206,,0,0,'',28,2,1,50,30,False,"[4352786283177729480, 13841009427123677881L, 4252238559324707330]"
1402603677500299841,,207,,0,0,'',20,3,1,50,74,False,"[0, 9223372036854775808L]"
1402603677598182022,,208,,0,0,'',20,11,1,50,74,False,"[0, 9223372036854775808L]"
1402603677604236428,,209,,0,0,'',28,12,1,50,30,False,"[4354996000901848813, 13840997044732888956L, 4268432559566249487]"
1402603677609122345,,210,,0,0,'',20,13,1,50,74,False,"[0, 9223372036854775808L]"
1402603677700099411,,211,,0,0,'',28,14,1,50,32,False,"[24335, 4510489532302360576, 0]"
1402603677704105644,,212,,0,0,'',15,15,1,50,52,False,[0]
1402603677708061485,,213,,0,0,'',20,16,1,50,58,False,"[24335, 13843798193470439424L]"
1402603677800092972,,214,,0,0,'',28,17,1,50,30,False,"[4356293562061578065, 13840952209569341188L, 13497482332708181481L]"
1402603677808082084,,215,,0,0,'',28,19,1,50,30,False,"[4354148225897226170, 13840964931262521741L, 13555011888509804024L]"
1402603677895014834,,216,,0,0,'',20,20,1,50,74,False,"[0, 9223372036854775808L]"
1402603677901002265,,217,,0,0,'',28,21,1,50,30,False,"[4354835399189749782, 13840986565012889099L, 4392802243251607828]"
1402603677906023329,,218,,0,0,'',20,22,1,50,74,False,"[0, 9223372036854775808L]"
1402603677991323023,,219,,0,0,'',28,23,1,50,32,False,"[24672, 4511448143233024000, 0]"
1402603677995293368,,220,,0,0,'',15,24,1,50,52,False,[0]
1402603678000305752,,221,,0,0,'',20,25,1,50,58,False,"[24672, 13843798193470439424L]"
1402603678088272479,,222,,0,0,'',28,26,1,50,30,False,"[4353483206046015614, 13840991693203485529L, 13592188242798045608L]"
1402603678093291612,,223,,0,0,'',20,27,1,50,74,False,"[0, 9223372036854775808L]"
1402603678183112336,,224,,0,0,'',28,28,1,50,30,False,"[4353895269503361246, 13840891117954566153L, 13605549160221588544L]"
1402603678188118897,,225,,0,0,'',20,29,1,50,74,False,"[0, 9223372036854775808L]"
1402603678194139342,,226,,0,0,'',28,30,1,50,30,False,"[4349520347096179010, 13840961117331251059L, 4352740459050451623]"
1402603678281756798,,227,,0,0,'',20,31,1,50,74,False,"[0, 9223372036854775808L]"
1402603678285027814,,228,,0,0,'',9,32,1,50,0,False,[347071849013772288]
1402603678291689089,,229,,0,0,'',31,33,1,50,1,False,"[17179869188, 3376295128783126532, 65436]"
1402603678385801948,,230,,0,0,'',62,34,1,50,105,False,"[25003843, 13739684347575363525L, 4403438708344679794, 4339449279007572082, 4476505318996758085, 4935119059988403684, 4684843171337732096]"
1402603678475753846,,231,,0,0,'',28,35,1,50,30,False,"[4351540970295157167, 13841005432803652007L, 13530010443642759741L]"
1402603678571007013,,232,,0,0,'',20,43,1,50,74,False,"[0, 9223372036854775808L]"
1402603678576676721,,233,,0,0,'',28,44,1,50,30,False,"[4348543048762810991, 13841089193255794671L, 13507076123565188998L]"
1402603678581570338,,234,,0,0,'',20,45,1,50,74,False,"[0, 9223372036854775808L]"
1402603678671654427,,235,,0,0,'',28,46,1,50,30,False,"[4346113905454506715, 13841141054985847899L, 13544076553869974117L]"
1402603678676599591,,236,,0,0,'',20,47,1,50,74,False,"[0, 9223372036854775808L]"
1402603678682600292,,237,,0,0,'',28,48,1,50,32,False,"[25333, 4512383063124082688, 0]"
1402603678776496860,,238,,0,0,'',15,49,1,50,52,False,[0]
1402603679159295504,,239,,0,0,'',28,60,1,50,30,False,"[4344947546955736172, 13841153497505849514L, 13542316321648287734L]"
1402603679259295573,,240,,0,0,'',20,63,1,50,74,False,"[0, 9223372036854775808L]"
1402603679265189198,,241,,0,0,'',28,64,1,50,30,False,"[4346909930398180657, 13841196069221786494L, 13609988343911864847L]"
1402603679270120745,,242,,0,0,'',20,65,1,50,74,False,"[0, 9223372036854775808L]"
1402603679273221565,,243,,0,0,'',9,66,1,50,0,False,[347071849013772288]
1402603679362172605,,244,,0,0,'',31,67,1,50,1,False,"[17179869188, 3370384064077889540, 65436]"
