rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,magnetic_field,x,y,z,magnetic_field_covariance
1402603674382387127,,0,,1402603674,381916400,fcu,,-1.31400838494e-05,1.75971344113e-05,4.29798513651e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603677406481831,,1,,1402603677,406097326,fcu,,-1.24061793089e-05,1.40185251832e-05,4.31578755379e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603678385766120,,2,,1402603678,385439626,fcu,,-1.18557490408e-05,1.55997723341e-05,4.34249043465e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603683315874343,,3,,1402603683,315455784,fcu,,-7.45232477784e-06,1.65152296424e-05,4.60062146187e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603684255180169,,4,,1402603684,254842631,fcu,,-2.40673329681e-06,1.75971344113e-05,4.4493034482e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603686403954376,,5,,1402603686,403608105,fcu,,-3.04889902472e-06,1.65984541178e-05,4.52941298485e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603687451339912,,6,,1402603687,451025543,fcu,,-4.33323159814e-06,1.61823362112e-05,4.42259997129e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603688254807848,,7,,1402603688,254503655,fcu,,-4.05801795423e-06,1.55997723341e-05,4.41369891167e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603690406684552,,8,,1402603690,406254851,fcu,,-9.19534787536e-06,1.65152296424e-05,4.46710556746e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603691382995587,,9,,1402603691,382647160,fcu,,-9.92925167084e-06,1.35191857815e-05,4.43150103092e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603692452646898,,10,,1402603692,452076332,fcu,,-9.74577516317e-06,1.51004299521e-05,4.32468831539e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603695391575828,,11,,1402603695,391233218,fcu,,-8.27796682715e-06,1.59326657653e-05,4.38699603081e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603696453865283,,12,,1402603696,453524173,fcu,,-7.63580128551e-06,1.52668789029e-05,4.33358937502e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603699393135136,,13,,1402603699,392742542,fcu,,-3.5075891763e-06,1.584944278e-05,4.42259997129e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603700460455155,,14,,1402603700,460062001,fcu,,-3.41585092247e-06,1.68481230736e-05,4.49380844831e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603703399658427,,15,,1402603703,399318373,fcu,,-1.22227028012e-05,1.41017496586e-05,4.44040209055e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603704378835115,,16,,1402603704,378594066,fcu,,-1.54335334897e-05,1.31862893701e-05,4.44040209055e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603708382639182,,17,,1402603708,382115642,fcu,,-1.24979175627e-05,1.31030678749e-05,4.41369891167e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603712388292999,,18,,1402603712,387540533,fcu,,-8.55318233371e-06,1.56829938293e-05,4.39589679241e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603713458120103,,19,,1402603713,457697642,fcu,,-6.44320696592e-06,1.50172069669e-05,4.4493034482e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603716394380613,,20,,1402603716,393930977,fcu,,-3.14063727856e-06,1.54333248734e-05,4.36919361353e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
1402603717460569468,,21,,1402603717,460182424,fcu,,-2.68194694072e-06,1.6681677103e-05,4.22677665949e-05,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
