rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,len,seq,sysid,compid,msgid,fromlcm,payload64
1402603673580830659,,11619,,0,0,'',32,0,1,45,104,False,"[1402603673580515, 13772223429975397455L, 13533250060171647148L, 4502171287586098201]"
1402603673588844761,,11620,,0,0,'',32,0,1,45,104,False,"[1402603673588518, 13772222863039712350L, 13511754461819759129L, 4502660540197833652]"
1402603673596702469,,11621,,0,0,'',32,0,1,45,104,False,"[1402603673596501, 13772217043359036288L, 13409035220809845572L, 4502929040067923581]"
1402603673604839102,,11622,,0,0,'',32,0,1,45,104,False,"[1402603673604540, 13772211438426719629L, 13297175516299857074L, 4503103793691153850]"
1402603673612749963,,11623,,0,0,'',32,0,1,45,104,False,"[1402603673612531, 13772212675377296730L, 13504996043016774976L, 4502338593738861967]"
1402603673621775332,,11624,,0,0,'',32,0,1,45,104,False,"[1402603673621529, 13772223030543440020L, 13537209388658371971L, 4502050294066484839]"
1402603673629820274,,11625,,0,0,'',32,0,1,45,104,False,"[1402603673629513, 13772225044883101325L, 13532628531159270314L, 4502328479096361062]"
1402603673637827758,,11626,,0,0,'',32,0,1,45,104,False,"[1402603673637528, 13772222545212137701L, 13478022145159301424L, 4502754518371716929]"
1402603673646825206,,11627,,0,0,'',32,0,1,45,104,False,"[1402603673646532, 13772219886627393153L, 4215243877853090098, 4503166560329128227]"
1402603673654762207,,11628,,0,0,'',32,0,1,45,104,False,"[1402603673654530, 13772210235835876702L, 4184728380028146570, 4502874597070772832]"
1402603673666856954,,11629,,0,0,'',32,0,1,45,104,False,"[1402603673666531, 13772213646039906634L, 13517675898871022680L, 4502174869593536267]"
1402603673671825411,,11630,,0,0,'',32,0,1,45,104,False,"[1402603673671525, 13772227716352762581L, 13542367137574687775L, 4501990344911448771]"
1402603673680813548,,11631,,0,0,'',32,0,1,45,104,False,"[1402603673680499, 13772230666995291153L, 13529584541807704747L, 4502196451801403705]"
1402603673688745588,,11632,,0,0,'',32,0,1,45,104,False,"[1402603673688506, 13772219302511843198L, 13439731420793848225L, 4502870729431413337]"
1402603673697663924,,11633,,0,0,'',32,0,1,45,104,False,"[1402603673697448, 13772207328143019232L, 4231380830193381084, 4502786421394672274]"
1402603673704791593,,11634,,0,0,'',32,0,1,45,104,False,"[1402603673704505, 13772218087036097695L, 13476031788594942836L, 4502717117787116986]"
1402603673713743114,,11635,,0,0,'',32,0,1,45,104,False,"[1402603673713495, 13772221643269002478L, 13538631031423195677L, 4501748976343704142]"
1402603673722760200,,11636,,0,0,'',32,0,1,45,104,False,"[1402603673722501, 13772236538215581797L, 13541746355886605958L, 4501902152053160880]"
1402603673732777821,,11637,,0,0,'',32,0,1,45,104,False,"[1402603673732516, 13772235116581410801L, 13518657470696772946L, 4502540981193164360]"
1402603673740692762,,11638,,0,0,'',32,0,1,45,104,False,"[1402603673740433, 13772233304105225697L, 13413197576695607164L, 4502949763281313626]"
1402603673747783270,,11639,,0,0,'',32,0,1,45,104,False,"[1402603673747493, 13772214732666636410L, 4178288656388369273, 4502738322054276902]"
1402603673756824070,,11640,,0,0,'',32,0,1,45,104,False,"[1402603673756495, 13772223438565342988L, 13513192446935246198L, 4502259506216709833]"
1402603673778754078,,11641,,0,0,'',32,0,1,45,104,False,"[1402603673778483, 13772231002002741836L, 13541808005847181505L, 4502155460639733471]"
1402603673779593204,,11642,,0,0,'',32,0,1,45,104,False,"[1402603673779445, 13772227591798714283L, 13503683273377716650L, 4502466502168754640]"
1402603673788588464,,11643,,0,0,'',32,0,1,45,104,False,"[1402603673788414, 13772223502989857790L, 13349287333754735099L, 4502766806278380900]"
1402603673795714236,,11644,,0,0,'',32,0,1,45,104,False,"[1402603673795461, 13772223799342599530L, 13446197897784904398L, 4502609284059684190]"
1402603673805772900,,11645,,0,0,'',32,0,1,45,104,False,"[1402603673805486, 13772231654837776896L, 13525785127838243658L, 4502012279315323791]"
