TIME_StartTime,IMU_AccX,IMU_AccY,IMU_AccZ,IMU_GyroX,IMU_GyroY,IMU_GyroZ,IMU_MagX,IMU_MagY,IMU_MagZ,LPOS_X,LPOS_Y,LPOS_Z,LPOS_VX,LPOS_VY,LPOS_VZ,LPOS_RefLat,LPOS_RefLon,LPOS_RefAlt,LPOS_XYFlags,LPOS_ZFlags,LPOS_Landed,RC_Ch0,RC_Ch1,RC_Ch2,RC_Ch3,RC_Ch4,RC_Ch5,RC_Ch6,RC_Ch7,RC_Count,ATT_Roll,ATT_Pitch,ATT_Yaw,ATT_RollRate,ATT_PitchRate,ATT_YawRate,ATT_GX,ATT_GY,ATT_GZ
75980975,-0.114827871323,-0.0466359704733,-9.71858119965,0.000535828585271,0.000307693553623,0.00286656152457,-0.0827796682715,0.103566922247,0.38440310955,0.0,0.0,-0.33040151,0.0,0.0,-0.00699746794999,0.0,0.0,0.0,0,3,1,0.0,0.0025641026441,0.0,1.0,-0.99816006422,0.93483710289,-0.998161792755,1.361144426e+14,7,0.0055311601609,-0.00671111792326,-2.27297854424,0.000542292837054,0.000220494068344,0.0021423320286,-0.114827871323,-0.0466359704733,-9.71858119965
76001936,-0.0822542384267,-0.0468476526439,-9.68999862671,-0.000159480390721,0.00187370204367,0.00152479531243,-0.0864492058754,0.102734684944,0.38440310955,0.0,0.0,-0.330481827259,0.0,0.0,-0.00704165408388,0.0,0.0,0.0,0,3,1,0.0,0.0025641026441,0.0,1.0,-1.0,0.937343358994,-0.998161792755,1.361144426e+14,7,0.00553024280816,-0.0067042526789,-2.27328133583,-1.37806027851e-05,0.00146675284486,0.00190007966012,-0.0822542384267,-0.0468476526439,-9.68999862671
76024225,-0.0839267596602,-0.044825669378,-9.70124435425,0.000420936266892,0.000881256477442,0.00171091558877,-0.0846144407988,0.101902455091,0.38440310955,0.0,0.0,-0.331200093031,0.0,0.0,-0.00732718408108,0.0,0.0,0.0,0,3,1,0.0,0.0025641026441,0.0,1.0,-1.0,0.937343358994,-0.998161792755,1.361144426e+14,7,0.00552652822807,-0.00668772822246,-2.27365708351,0.000276185543044,0.00106300355401,0.00139387103263,-0.0839267596602,-0.044825669378,-9.70124435425
76045293,-0.0919458791614,-0.0422882884741,-9.71178436279,0.000889973714948,0.00125809526071,0.00239971652627,-0.0855318233371,0.0994057431817,0.38440310955,0.0,0.0,-0.332929462194,0.0,0.0,-0.00808683224022,0.0,0.0,0.0,0,3,1,0.0,0.0025641026441,0.0,1.0,-1.0,0.937343358994,-0.998161792755,1.361144426e+14,7,0.005532998126,-0.00668093189597,-2.27447128296,0.000672165595461,0.000957190582994,0.00218431092799,-0.0919458791614,-0.0422882884741,-9.71178436279
76066555,-0.082818210125,-0.03728614375,-9.73122215271,0.000185061944649,0.000656844116747,0.000809844234027,-0.0864492058754,0.0994057431817,0.385293215513,0.0,0.0,-0.332625001669,0.0,0.0,-0.00789901986718,0.0,0.0,0.0,0,3,1,0.0,0.0025641026441,0.0,1.0,-1.0,0.937343358994,-0.998161792755,1.361144426e+14,7,0.00553515320644,-0.00667363079265,-2.27487301826,0.00044532850734,0.000771324383095,0.00155498017557,-0.082818210125,-0.03728614375,-9.73122215271
76088604,-0.0823718085885,-0.0458257943392,-9.73090744019,0.000773883366492,0.000796273758169,0.00128616939764,-0.0846144407988,0.0902511626482,0.375502020121,0.0,0.0,-0.3313344419,0.0,0.0,-0.00730480067432,0.0,0.0,0.0,0,3,1,0.0,0.0025641026441,0.0,1.0,-1.0,0.93483710289,-0.996323525906,1.361144426e+14,7,0.00554335489869,-0.00666634785011,-2.27617645264,0.000580697669648,0.000703499186784,0.000713786925189,-0.0823718085885,-0.0458257943392,-9.73090744019
76109823,-0.0736546441913,-0.0403630584478,-9.73291969299,0.00130526011344,0.000407656974858,0.00185992592014,-0.0836970582604,0.101902455091,0.38440310955,0.0,0.0,-0.327381908894,0.0,0.0,-0.00549702020362,0.0,0.0,0.0,0,3,1,0.0,0.0025641026441,0.0,1.0,-1.0,0.937343358994,-0.998161792755,1.361144426e+14,7,0.00556136155501,-0.00666453503072,-2.27625226974,0.00133444531821,0.000395648850827,0.00146615505219,-0.0736546441913,-0.0403630584478,-9.73291969299
76132390,-0.0764247328043,-0.045673340559,-9.72269916534,0.000278125982732,9.3939670478e-05,0.0022908418905,-0.0864492058754,0.103566922247,0.386183291674,0.0,0.0,-0.327105939388,0.0,0.0,-0.00568636506796,0.0,0.0,0.0,0,3,1,0.0,0.0025641026441,0.0,1.0,-1.0,0.93483710289,-0.996323525906,1.361144426e+14,7,0.00556913390756,-0.00666098482907,-2.27627468109,0.000454978406196,0.000247524556471,0.00226356531493,-0.0764247328043,-0.045673340559,-9.72269916534
76153050,-0.0856313705444,-0.0491338633001,-9.71085453033,0.00023403087107,0.000195320360945,0.00210734619759,-0.0864492058754,0.0927478671074,0.383513003588,0.0,0.0,-0.32551074028,0.0,0.0,-0.005196117796,0.0,0.0,0.0,0,3,1,0.0,0.0025641026441,0.0,1.0,-1.0,0.93483710289,-0.996323525906,1.361144426e+14,7,0.00557631533593,-0.00666952086613,-2.27705359459,0.000407156185247,-1.66472873389e-05,0.00233519426547,-0.0856313705444,-0.0491338633001,-9.71085453033
76174286,-0.0739219114184,-0.0447674319148,-9.72559165955,0.00150997110177,0.00100904097781,0.0017194316024,-0.0846144407988,0.0910833999515,0.382622867823,0.0,0.0,-0.325663328171,0.0,0.0,-0.00539777474478,0.0,0.0,0.0,0,3,1,0.0,-0.0,0.0,1.0,-1.0,0.937343358994,-0.998161792755,1.361144426e+14,7,0.00558939669281,-0.00667049223557,-2.27865076065,0.00105440139305,0.000613982789218,0.00180700770579,-0.0739219114184,-0.0447674319148,-9.72559165955
